id,current_price,market_cap,price_change_percentage_24h,ath,atl,time_stamp
floki,0.00013216,1277027900,-0.80639,0.00034495,8.428e-08,17-07-2025 20-16-35
sonic-3,0.38698,1246570612,1.3396,1.029,0.250194,17-07-2025 20-16-35
liquid-staked-ethereum,3863.36,1210778047,5.48667,4332.67,1384.61,17-07-2025 20-16-35
virtual-protocol,1.84,1199309796,2.51553,5.07,0.00748604,17-07-2025 20-16-35
renzo-restaked-eth,3740.67,1198048177,4.98591,4207.05,1454.43,17-07-2025 20-16-35
polygon-bridged-usdt-polygon,1.001,1160801753,0.03562,1.027,0.945933,17-07-2025 20-16-35
solv-btc,119893.0,1141559731,0.89902,122909.0,49058.0,17-07-2025 20-16-35
dogwifcoin,1.098,1090590824,0.37474,4.83,0.00155464,17-07-2025 20-16-35
the-graph,0.108372,1068369916,4.05818,2.84,0.052051,17-07-2025 20-16-35
immutable-x,0.565683,1068145436,2.82923,9.52,0.343711,17-07-2025 20-16-35
kaia,0.1709,1000901504,10.52097,0.406698,0.090737,17-07-2025 20-16-35
binance-bridged-usdc-bnb-smart-chain,1.002,999893540,0.14527,1.031,0.942892,17-07-2025 20-16-35
iota,0.250338,983956785,10.42154,5.25,0.081637,17-07-2025 20-16-35
jupiter-staked-sol,202.86,977405500,4.21522,309.67,105.7,17-07-2025 20-16-35
arbitrum-bridged-wbtc-arbitrum-one,120167.0,968131081,0.96565,122778.0,49594.0,17-07-2025 20-16-35
lido-dao,1.082,965799254,15.45972,7.3,0.40615,17-07-2025 20-16-35
wbnb,731.99,955314239,2.02953,789.32,23.6,17-07-2025 20-16-35
clbtc,121930.0,940445197,1.29504,123744.0,51493.0,17-07-2025 20-16-35
pax-gold,3340.9,938641035,-0.16182,3518.57,1399.64,17-07-2025 20-16-35
ethereum-name-service,28.06,934024740,4.12014,83.4,6.69,17-07-2025 20-16-35
pancakeswap-token,2.66,917828713,4.47253,43.96,0.194441,17-07-2025 20-16-35
vaulta,0.579531,910897084,3.00139,0.778734,0.455113,17-07-2025 20-16-35
msol,235.91,900392204,4.20279,363.77,8.93,17-07-2025 20-16-35
syrupusdc,1.11,893472187,0.08898,1.11,1.07,17-07-2025 20-16-35
theta-token,0.889517,887875712,4.46464,15.72,0.04039979,17-07-2025 20-16-35
paypal-usd,0.999958,875592815,0.0152,1.021,0.959426,17-07-2025 20-16-35
tokenize-xchange,11.05,874792407,51.39875,50.43,0.111255,17-07-2025 20-16-35
gala,0.01915844,867819448,4.84782,0.824837,0.00013475,17-07-2025 20-16-35
jasmycoin,0.01766895,855963084,4.22715,4.79,0.00275026,17-07-2025 20-16-35
tether-gold,3337.97,822894754,-0.04268,3530.16,1447.84,17-07-2025 20-16-35
the-sandbox,0.333199,814892447,4.87487,8.4,0.02897764,17-07-2025 20-16-35
aerodrome-finance,0.947343,810902492,0.58028,2.32,1.861e-05,17-07-2025 20-16-35
raydium,2.97,791990181,-0.60946,16.83,0.134391,17-07-2025 20-16-35
mantle-restaked-eth,3808.26,770698766,5.08151,4298.87,1480.7,17-07-2025 20-16-35
super-oeth,3549.51,769867857,4.69322,4099.87,1312.97,17-07-2025 20-16-35
pyth-network,0.132241,758934866,4.18903,1.2,0.081442,17-07-2025 20-16-35
zcash,46.42,750645770,4.83514,3191.93,16.08,17-07-2025 20-16-35
cgeth-hashkey-cloud,3684.3,736645829,3.90094,3676.83,1430.7,17-07-2025 20-16-35
tezos,0.678206,712164930,2.78575,9.12,0.350476,17-07-2025 20-16-35
ousg,111.83,707645789,0.01102,111.83,95.09,17-07-2025 20-16-35
pendle,4.27,702352527,0.96101,7.5,0.03377729,17-07-2025 20-16-35
jito-governance-token,1.97,697312820,0.47713,6.01,1.43,17-07-2025 20-16-35
bittorrent,7.04994e-07,693393867,1.27047,3.43e-06,3.65368e-07,17-07-2025 20-16-35
morpho,2.17,691732106,3.90173,4.17,0.713151,17-07-2025 20-16-35
saros-finance,0.261567,685697427,-0.82302,0.287474,0.00101093,17-07-2025 20-16-35
usdx-money-usdx,0.998879,674363357,0.05856,1.057,0.944423,17-07-2025 20-16-35
flow,0.416705,663852324,2.64697,42.4,0.292024,17-07-2025 20-16-35
tbtc,119777.0,660361511,0.80042,122930.0,10104.3,17-07-2025 20-16-35
helium,3.55,656518469,10.83283,54.88,0.113248,17-07-2025 20-16-35
falcon-finance,0.999882,653846555,-0.0115,1.075,0.943422,17-07-2025 20-16-35
decentraland,0.33566,643528680,5.09669,5.85,0.00923681,17-07-2025 20-16-35
mog-coin,1.65e-06,643240330,-3.15699,4.02e-06,4.526e-09,17-07-2025 20-16-35
chain-2,0.01857921,636286410,-4.02933,0.184139,0.0007055,17-07-2025 20-16-35
ondo-us-dollar-yield,1.092,635110119,0.34993,1.26,0.934184,17-07-2025 20-16-35
walrus-2,0.45941,633244299,-0.73377,0.759179,0.360051,17-07-2025 20-16-35
l2-standard-bridged-weth-base,3558.16,629767817,4.93956,4096.05,1394.17,17-07-2025 20-16-35
based-brett,0.061847,606581419,-1.59854,0.234204,0.00084753,17-07-2025 20-16-35
telcoin,0.00653404,599199549,4.25644,0.064483,6.474e-05,17-07-2025 20-16-35
newton-project,0.00874462,596957768,-1.54226,0.01727373,3.8e-06,17-07-2025 20-16-35
thorchain,1.69,593271540,3.30983,20.87,0.00851264,17-07-2025 20-16-35
solv-protocol-solvbtc-bbn,118724.0,592357369,0.03355,121137.0,11402.13,17-07-2025 20-16-35
usual-usd,0.997828,583563053,0.0154,1.33,0.962885,17-07-2025 20-16-35
bitcoin-cash-sv,29.08,582551970,0.89849,489.75,21.43,17-07-2025 20-16-35
reserve-rights-token,0.00989677,581549332,13.25149,0.117424,0.00121354,17-07-2025 20-16-35
binance-peg-dogecoin,0.227875,580778766,5.08433,0.480585,0.04955727,17-07-2025 20-16-35
memecore,0.35928,577539397,-7.01422,0.897338,0.04746135,17-07-2025 20-16-35
coredaoorg,0.571578,573655652,2.69985,6.14,0.334237,17-07-2025 20-16-35
ether-fi,1.37,568751729,2.71519,8.53,0.40432,17-07-2025 20-16-35
bitcoin-avalanche-bridged-btc-b,120263.0,566604382,0.97906,123072.0,7806.11,17-07-2025 20-16-35
conflux-token,0.110674,565344771,10.85112,1.7,0.02199898,17-07-2025 20-16-35
usdd,1.001,563032390,0.07057,1.052,0.928067,17-07-2025 20-16-35
arbitrum-bridged-weth-arbitrum-one,3560.37,554226181,4.91884,4097.16,1395.31,17-07-2025 20-16-35
stader-ethx,3803.35,554181219,5.54059,4275.3,1474.49,17-07-2025 20-16-35
wrapped-hype,46.2,550574144,-1.26433,49.81,9.43,17-07-2025 20-16-35
apecoin,0.688424,549975499,2.7722,26.7,0.354833,17-07-2025 20-16-35
beldex,0.073868,528029402,3.08633,0.450785,0.00027519,17-07-2025 20-16-35
starknet,0.144745,519263063,-0.85204,4.41,0.097027,17-07-2025 20-16-35
coinbase-wrapped-staked-eth,3922.03,518468407,4.79993,4434.57,1036.96,17-07-2025 20-16-35
ripple-usd,0.999908,517695729,-0.00085,1.073,0.962292,17-07-2025 20-16-35
savings-dai,1.16,512057941,0.02195,1.27,0.186576,17-07-2025 20-16-35
dydx-chain,0.672715,506259659,2.58265,4.52,0.418236,17-07-2025 20-16-35
deep,0.201001,501345944,4.83681,0.341085,0.01073218,17-07-2025 20-16-35
arweave,7.59,496961555,2.84422,89.24,0.298788,17-07-2025 20-16-35
aioz-network,0.419204,496237742,1.44114,2.65,0.01099588,17-07-2025 20-16-35
eigenlayer,1.57,495134526,6.45755,5.65,0.668501,17-07-2025 20-16-35
true-usd,0.997982,494637242,-0.15515,1.62,0.88355,17-07-2025 20-16-35
neo,6.93,489420982,4.17276,198.38,0.078349,17-07-2025 20-16-35
ether-fi-staked-eth,3532.47,486352564,4.35729,5307.23,1394.71,17-07-2025 20-16-35
elrond-erd-2,16.98,483428312,2.79476,545.64,6.51,17-07-2025 20-16-35
build-on,0.485212,482782402,-1.48131,0.609597,0.175498,17-07-2025 20-16-35
compound-governance-token,51.15,480372408,1.27711,910.54,25.74,17-07-2025 20-16-35
syrup,0.450641,479452136,-8.17113,0.653229,0.085229,17-07-2025 20-16-35
kava,0.439448,475862669,0.4173,9.12,0.247359,17-07-2025 20-16-35
sweth,3895.5,470683278,4.85712,4395.57,1516.13,17-07-2025 20-16-35
venom,0.222211,463145455,-0.31634,0.782403,0.03459851,17-07-2025 20-16-35
apenft,4.64846e-07,460255202,2.99023,7.53e-06,2.98737e-07,17-07-2025 20-16-35
1inch,0.328822,457056700,-0.09508,8.65,0.149574,17-07-2025 20-16-35
dexe,7.99,456229745,-1.25586,32.38,0.671563,17-07-2025 20-16-35
staked-hype,46.06,449237589,-1.44203,49.79,9.33,17-07-2025 20-16-35
axie-infinity,2.69,446823412,2.34519,164.9,0.123718,17-07-2025 20-16-35
ecash,2.242e-05,445997794,1.35942,0.00038001,1.604e-05,17-07-2025 20-16-35
zksync,0.061407,444135120,0.4364,0.320983,0.03697818,17-07-2025 20-16-35
wormhole,0.094217,440681053,6.88416,1.66,0.051583,17-07-2025 20-16-35
superstate-short-duration-us-government-securities-fund-ustb,10.75,428807470,0.01051,10.75,10.29,17-07-2025 20-16-35
frax-ether,3534.25,427602969,4.4941,4084.25,1137.25,17-07-2025 20-16-35
chiliz,0.04338476,421842866,2.97041,0.878633,0.00410887,17-07-2025 20-16-35
polygon-pos-bridged-weth-polygon-pos,3542.06,419281289,4.48759,4090.99,1390.73,17-07-2025 20-16-35
kaito,1.73,417379573,-0.61692,2.88,0.674693,17-07-2025 20-16-35
dog-go-to-the-moon-rune,0.00418114,417247554,-3.02678,0.0099237,0.00100496,17-07-2025 20-16-35
movement,0.158352,411672492,1.37145,1.45,0.112218,17-07-2025 20-16-35
hashnote-usyc,1.093,410447347,-0.02671,1.12,1.026,17-07-2025 20-16-35
usdb,1.004,408546889,0.78804,1.088,0.882623,17-07-2025 20-16-35
bridged-usdc-polygon-pos-bridge,0.999807,408357609,9e-05,1.028,0.975633,17-07-2025 20-16-35
ether-fi-staked-btc,119854.0,400766881,1.21995,122924.0,58795.0,17-07-2025 20-16-35
treehouse-eth,4286.58,399972990,4.91717,4837.52,1683.91,17-07-2025 20-16-35
eos,0.578818,399757021,2.95904,22.71,0.402746,17-07-2025 20-16-35
superfarm,0.886991,399264156,3.7783,4.74,0.070397,17-07-2025 20-16-35
mantle-bridged-usdt-mantle,1.001,397395207,-0.27708,1.26,0.869914,17-07-2025 20-16-35
beam-2,0.00769199,397032919,3.67753,0.04416304,0.00429024,17-07-2025 20-16-35
turbo,0.00575384,396298125,-2.50007,0.01431669,6.518e-05,17-07-2025 20-16-35
bybit-staked-sol,198.14,393093655,4.60479,308.6,103.09,17-07-2025 20-16-35
popcat,0.401413,390337962,-4.26368,2.05,0.00379728,17-07-2025 20-16-35
akash-network,1.41,385681345,1.1788,8.07,0.164994,17-07-2025 20-16-35
gnosis,144.97,383104692,2.56409,644.2,6.88,17-07-2025 20-16-35
benqi-liquid-staked-avax,29.6,380583687,7.36475,103.55,9.25,17-07-2025 20-16-35
polygon-pos-bridged-dai-polygon-pos,0.999956,377886465,0.01128,1.025,0.957024,17-07-2025 20-16-35
ronin,0.574462,377189615,2.18016,4.45,0.196601,17-07-2025 20-16-35
axelar,0.376653,377090124,2.00963,2.64,0.274681,17-07-2025 20-16-35
trip,12.73,375525475,3.04954,12.71,4.92,17-07-2025 20-16-35
just,0.03791703,375397251,0.82297,0.193254,0.00476275,17-07-2025 20-16-35
sun-token,0.01915472,366781072,1.14207,66.45,0.00462303,17-07-2025 20-16-35
convex-finance,4.5,365967718,-12.48486,60.09,1.44,17-07-2025 20-16-35
terra-luna,6.49e-05,361793975,0.55457,119.18,9.99967e-07,17-07-2025 20-16-35
wrapped-avax,24.28,361226382,7.15194,2000.68,7.91,17-07-2025 20-16-35
polygon-bridged-wbtc-polygon-pos,119863.0,358988607,0.70589,122558.0,49937.0,17-07-2025 20-16-35
matic-network,0.242736,352220182,4.94759,2.92,0.00314376,17-07-2025 20-16-35
aethir,0.03308631,351548305,-0.19378,0.118536,0.02439678,17-07-2025 20-16-35
global-dollar,0.999978,349440490,0.01842,1.65,0.907561,17-07-2025 20-16-35
wemix-token,0.770312,349068974,11.85034,24.71,0.128398,17-07-2025 20-16-35
trust-wallet-token,0.834728,347777431,1.79802,2.72,0.00277641,17-07-2025 20-16-35
amp-token,0.00412118,347143177,4.37291,0.120813,0.00140933,17-07-2025 20-16-35
creditcoin-2,0.75498,346859012,0.43841,8.67,0.128298,17-07-2025 20-16-35
olympus,21.33,346686075,-0.00411,1415.26,7.54,17-07-2025 20-16-35
reserve-protocol-eth-plus,3697.6,341529132,3.97204,4194.11,1461.53,17-07-2025 20-16-35
grass,1.12,330728073,-5.60549,3.89,0.654959,17-07-2025 20-16-35
ket,0.329363,328094223,6.13997,0.61664,0.0085598,17-07-2025 20-16-35
cat-in-a-dogs-world,0.00367092,326400980,-8.1586,0.01288153,0.00091206,17-07-2025 20-16-35
staked-frax-ether,4008.8,322632528,5.17551,7545.09,1147.58,17-07-2025 20-16-35
useless-3,0.320288,317684810,-12.12412,0.380484,0.00519952,17-07-2025 20-16-35
livepeer,7.38,313721617,4.47754,99.03,0.354051,17-07-2025 20-16-35
binance-peg-busd,1.003,313162457,0.20346,1.064,0.954278,17-07-2025 20-16-35
gho,0.9994,311908396,0.00396,1.03,0.917065,17-07-2025 20-16-35
cheems-token,1.5e-06,305235908,1.04679,2.16e-06,5.725e-09,17-07-2025 20-16-35
